time,co2,temperature,humidity,motion
2026-06-10 02:07:29,405.1,21.9,50.5,0
2026-06-10 02:08:29,456.0,21.2,55.1,0
2026-06-10 02:09:29,466.4,20.5,53.3,0
2026-06-10 02:10:29,466.6,20.4,43.2,0
2026-06-10 02:11:29,374.8,20.4,55.2,0
2026-06-10 02:12:29,406.0,21.1,42.5,0
2026-06-10 02:13:29,440.6,19.6,49.6,0
2026-06-10 02:14:29,421.0,22.4,56.2,0
2026-06-10 02:15:29,388.6,20.2,44.0,0
2026-06-10 02:16:29,445.2,20.2,53.6,0
2026-06-10 02:17:29,460.1,21.6,43.6,0
2026-06-10 02:18:29,414.4,20.0,53.0,0
2026-06-10 02:19:29,381.4,21.8,43.9,0
2026-06-10 02:20:29,400.6,20.1,46.2,0
2026-06-10 02:21:29,466.0,20.7,44.6,0
2026-06-10 02:22:29,463.7,19.6,52.6,0
2026-06-10 02:23:29,400.1,20.3,42.3,0
2026-06-10 02:24:29,453.3,22.3,49.1,0
2026-06-10 02:25:29,433.0,21.6,49.5,0
2026-06-10 02:26:29,399.6,22.1,49.8,0
2026-06-10 02:27:29,389.0,22.3,50.0,0
2026-06-10 02:28:29,467.8,19.7,51.0,0
2026-06-10 02:29:29,1577.8,20.4,44.2,1
2026-06-10 02:30:29,377.7,22.4,49.3,0
2026-06-10 02:31:29,428.2,21.5,52.4,0
2026-06-10 02:32:29,411.1,21.6,50.5,0
2026-06-10 02:33:29,438.3,20.9,51.1,1
2026-06-10 02:34:29,410.8,22.0,45.1,0
2026-06-10 02:35:29,422.7,20.8,47.1,0
2026-06-10 02:36:29,386.0,21.4,50.5,0
2026-06-10 02:37:29,388.4,20.8,50.9,0
2026-06-10 02:38:29,457.6,20.1,55.2,0
2026-06-10 02:39:29,380.1,19.6,45.0,0
2026-06-10 02:40:29,429.9,20.3,49.3,0
2026-06-10 02:41:29,435.3,21.7,46.7,0
2026-06-10 02:42:29,462.7,20.6,55.5,0
2026-06-10 02:43:29,373.6,22.3,50.6,0
2026-06-10 02:44:29,420.1,22.0,55.2,0
2026-06-10 02:45:29,455.9,20.7,55.8,0
2026-06-10 02:46:29,409.9,20.2,42.8,0
2026-06-10 02:47:29,466.4,19.8,47.0,0
2026-06-10 02:48:29,444.1,22.0,42.3,0
2026-06-10 02:49:29,459.9,21.4,42.3,0
2026-06-10 02:50:29,399.5,22.0,45.0,0
2026-06-10 02:51:29,380.7,21.3,53.3,0
2026-06-10 02:52:29,458.9,21.2,44.6,0
2026-06-10 02:53:29,388.2,20.2,52.5,0
2026-06-10 02:54:29,430.0,21.9,55.2,0
2026-06-10 02:55:29,461.6,20.5,48.5,0
2026-06-10 02:56:29,407.6,20.2,52.9,0
2026-06-10 02:57:29,372.9,22.2,51.1,1
2026-06-10 02:58:29,398.8,21.4,47.9,0
2026-06-10 02:59:29,451.4,21.6,46.2,0
2026-06-10 03:00:29,1676.7,20.5,45.2,1
2026-06-10 03:01:29,395.8,19.5,48.2,0
2026-06-10 03:02:29,426.8,21.8,51.4,0
2026-06-10 03:03:29,424.9,21.0,47.4,0
2026-06-10 03:04:29,467.4,21.7,44.5,0
2026-06-10 03:05:29,449.9,20.5,51.1,0
2026-06-10 03:06:29,457.8,20.5,51.1,0
2026-06-10 03:07:29,461.0,21.4,46.4,0
2026-06-10 03:08:29,434.2,20.1,53.2,0
2026-06-10 03:09:29,434.5,20.3,46.5,0
2026-06-10 03:10:29,457.6,21.9,46.1,0
2026-06-10 03:11:29,428.6,20.9,53.7,0
2026-06-10 03:12:29,429.0,19.9,56.1,1
2026-06-10 03:13:29,389.5,19.6,42.6,0
2026-06-10 03:14:29,449.2,20.8,46.6,0
2026-06-10 03:15:29,425.4,20.7,56.0,0
2026-06-10 03:16:29,446.3,21.9,44.9,0
2026-06-10 03:17:29,397.3,19.9,52.9,1
2026-06-10 03:18:29,374.8,20.2,54.3,0
2026-06-10 03:19:29,429.2,20.8,50.8,0
2026-06-10 03:20:29,452.0,19.8,54.1,0
2026-06-10 03:21:29,450.2,20.4,43.8,0
2026-06-10 03:22:29,457.0,20.4,48.9,0
2026-06-10 03:23:29,455.5,20.4,48.3,0
2026-06-10 03:24:29,432.0,19.6,53.4,0
2026-06-10 03:25:29,371.6,20.0,48.0,0
2026-06-10 03:26:29,457.2,20.2,43.9,0
2026-06-10 03:27:29,375.3,21.3,55.4,0
2026-06-10 03:28:29,451.7,22.5,47.0,1
2026-06-10 03:29:29,382.1,22.4,48.3,0
2026-06-10 03:30:29,378.2,19.7,42.6,0
2026-06-10 03:31:29,441.1,21.5,43.2,1
2026-06-10 03:32:29,383.5,21.3,44.4,0
2026-06-10 03:33:29,393.6,19.7,53.0,0
2026-06-10 03:34:29,418.5,20.0,50.8,0
2026-06-10 03:35:29,428.5,21.8,43.3,0
2026-06-10 03:36:29,442.5,21.7,51.2,0
2026-06-10 03:37:29,431.7,20.8,47.4,0
2026-06-10 03:38:29,450.6,22.5,42.5,0
2026-06-10 03:39:29,403.3,20.2,52.1,0
2026-06-10 03:40:29,373.2,22.0,47.2,0
2026-06-10 03:41:29,383.7,20.2,56.8,0
2026-06-10 03:42:29,374.3,20.9,51.0,0
2026-06-10 03:43:29,431.8,20.4,42.3,0
2026-06-10 03:44:29,424.4,20.1,56.4,0
2026-06-10 03:45:29,394.2,21.6,45.9,0
2026-06-10 03:46:29,451.6,22.4,54.3,0
2026-06-10 03:47:29,393.2,21.2,56.5,0
2026-06-10 03:48:29,406.2,20.6,44.2,0
2026-06-10 03:49:29,460.9,22.3,50.7,0
2026-06-10 03:50:29,383.2,21.1,43.9,0
2026-06-10 03:51:29,415.5,20.6,43.0,0
2026-06-10 03:52:29,385.2,20.8,49.4,0
2026-06-10 03:53:29,440.2,21.5,42.8,0
2026-06-10 03:54:29,442.9,20.3,46.4,0
2026-06-10 03:55:29,448.7,20.5,43.5,0
2026-06-10 03:56:29,450.3,19.7,44.9,0
2026-06-10 03:57:29,421.1,21.2,54.9,0
2026-06-10 03:58:29,435.3,21.5,45.4,0
2026-06-10 03:59:29,450.1,22.3,56.3,0
2026-06-10 04:00:29,408.7,22.0,44.6,1
2026-06-10 04:01:29,385.3,21.9,55.8,0
2026-06-10 04:02:29,460.0,20.7,53.1,0
2026-06-10 04:03:29,379.3,20.6,47.8,0
2026-06-10 04:04:29,441.0,20.2,45.3,0
2026-06-10 04:05:29,434.2,20.6,47.4,0
2026-06-10 04:06:29,454.9,20.0,42.5,0
2026-06-10 04:07:29,454.4,22.0,56.1,0
2026-06-10 04:08:29,445.0,19.6,47.5,0
2026-06-10 04:09:29,395.0,21.0,47.4,0
2026-06-10 04:10:29,450.7,20.0,49.5,0
2026-06-10 04:11:29,370.2,22.3,53.1,0
2026-06-10 04:12:29,398.8,19.9,44.5,0
2026-06-10 04:13:29,405.9,21.4,56.6,0
2026-06-10 04:14:29,446.7,21.7,48.2,0
2026-06-10 04:15:29,370.5,21.7,54.0,0
2026-06-10 04:16:29,443.9,20.7,53.3,0
2026-06-10 04:17:29,426.4,22.1,46.1,0
2026-06-10 04:18:29,391.9,21.3,42.6,0
2026-06-10 04:19:29,402.5,21.8,42.7,0
2026-06-10 04:20:29,388.7,20.7,45.1,0
2026-06-10 04:21:29,424.1,21.6,53.2,0
2026-06-10 04:22:29,378.5,22.2,52.3,0
2026-06-10 04:23:29,442.4,21.2,42.3,0
2026-06-10 04:24:29,430.5,20.6,47.5,0
2026-06-10 04:25:29,395.5,19.5,54.2,1
2026-06-10 04:26:29,410.6,21.9,43.8,0
2026-06-10 04:27:29,404.7,20.2,44.2,0
2026-06-10 04:28:29,423.4,22.2,48.6,0
2026-06-10 04:29:29,408.7,20.1,52.4,0
2026-06-10 04:30:29,441.1,22.5,47.4,0
2026-06-10 04:31:29,402.9,20.5,54.1,0
2026-06-10 04:32:29,464.3,21.9,56.6,0
2026-06-10 04:33:29,436.3,20.1,55.8,0
2026-06-10 04:34:29,435.3,20.5,47.2,0
2026-06-10 04:35:29,420.5,19.8,56.4,0
2026-06-10 04:36:29,458.5,21.6,54.2,0
2026-06-10 04:37:29,406.3,20.4,52.3,0
2026-06-10 04:38:29,457.3,21.4,53.8,0
2026-06-10 04:39:29,390.2,22.3,49.4,0
2026-06-10 04:40:29,427.1,19.9,47.5,0
2026-06-10 04:41:29,467.3,19.9,47.6,0
2026-06-10 04:42:29,453.4,21.6,56.4,0
2026-06-10 04:43:29,420.7,20.0,44.7,0
2026-06-10 04:44:29,435.1,22.3,45.4,0
2026-06-10 04:45:29,378.9,21.0,49.7,0
2026-06-10 04:46:29,437.8,21.4,49.0,0
2026-06-10 04:47:29,386.8,21.4,42.5,0
2026-06-10 04:48:29,371.9,20.2,43.0,0
2026-06-10 04:49:29,396.5,21.3,55.4,0
2026-06-10 04:50:29,395.5,19.8,56.5,0
2026-06-10 04:51:29,411.6,22.2,57.0,0
2026-06-10 04:52:29,458.2,19.8,54.9,1
2026-06-10 04:53:29,397.9,21.6,49.1,0
2026-06-10 04:54:29,422.1,22.0,56.8,0
2026-06-10 04:55:29,378.8,20.9,50.1,0
2026-06-10 04:56:29,440.6,19.9,43.9,0
2026-06-10 04:57:29,370.0,20.5,42.7,0
2026-06-10 04:58:29,467.5,20.3,46.1,0
2026-06-10 04:59:29,453.9,20.1,51.6,0
2026-06-10 05:00:29,383.2,22.2,45.7,0
2026-06-10 05:01:29,409.5,21.4,46.2,0
2026-06-10 05:02:29,427.5,20.3,51.8,0
2026-06-10 05:03:29,433.8,19.9,50.4,0
2026-06-10 05:04:29,387.2,20.7,49.9,0
2026-06-10 05:05:29,465.2,19.9,53.8,0
2026-06-10 05:06:29,395.7,20.9,42.7,0
2026-06-10 05:07:29,426.3,21.1,49.3,0
2026-06-10 05:08:29,431.7,22.2,43.6,0
2026-06-10 05:09:29,465.0,22.5,53.0,0
2026-06-10 05:10:29,465.3,20.8,51.1,0
2026-06-10 05:11:29,399.3,20.8,43.4,0
2026-06-10 05:12:29,461.4,20.4,56.2,0
2026-06-10 05:13:29,410.5,21.3,43.9,0
2026-06-10 05:14:29,430.0,20.9,42.7,0
2026-06-10 05:15:29,378.0,20.2,46.6,0
2026-06-10 05:16:29,460.7,21.5,53.2,0
2026-06-10 05:17:29,426.8,21.3,47.0,0
2026-06-10 05:18:29,384.1,20.1,45.1,1
2026-06-10 05:19:29,434.1,20.0,47.1,0
2026-06-10 05:20:29,428.4,22.3,46.4,0
2026-06-10 05:21:29,384.1,21.5,51.7,1
2026-06-10 05:22:29,402.2,22.1,45.9,0
2026-06-10 05:23:29,422.4,21.9,50.1,1
2026-06-10 05:24:29,469.1,21.7,55.8,0
2026-06-10 05:25:29,385.6,19.9,46.5,0
2026-06-10 05:26:29,394.7,20.9,51.1,0
2026-06-10 05:27:29,400.5,21.7,42.4,0
2026-06-10 05:28:29,416.3,20.2,51.6,0
2026-06-10 05:29:29,456.4,20.5,48.1,0
2026-06-10 05:30:29,444.7,21.8,43.9,0
2026-06-10 05:31:29,379.8,21.2,50.8,0
2026-06-10 05:32:29,463.8,19.9,47.7,0
2026-06-10 05:33:29,443.8,19.9,52.0,0
2026-06-10 05:34:29,396.6,22.3,49.6,0
2026-06-10 05:35:29,459.1,22.3,49.9,0
2026-06-10 05:36:29,400.7,20.4,48.2,0
2026-06-10 05:37:29,388.8,21.6,46.3,0
2026-06-10 05:38:29,450.0,21.8,48.7,0
2026-06-10 05:39:29,456.4,21.1,52.3,0
2026-06-10 05:40:29,438.0,19.7,54.4,0
2026-06-10 05:41:29,396.5,22.3,51.6,0
2026-06-10 05:42:29,413.7,19.6,55.9,0
2026-06-10 05:43:29,435.4,21.4,55.7,0
2026-06-10 05:44:29,429.7,20.9,52.4,0
2026-06-10 05:45:29,415.3,21.7,44.1,0
2026-06-10 05:46:29,417.8,22.0,52.0,0
2026-06-10 05:47:29,457.0,22.1,45.3,0
2026-06-10 05:48:29,454.4,22.3,52.9,0
2026-06-10 05:49:29,463.2,22.0,48.4,0
2026-06-10 05:50:29,460.1,21.6,47.7,0
2026-06-10 05:51:29,382.7,19.8,42.3,0
2026-06-10 05:52:29,441.4,20.1,48.5,0
2026-06-10 05:53:29,436.4,20.0,50.3,0
2026-06-10 05:54:29,460.2,19.9,42.7,0
2026-06-10 05:55:29,456.0,19.8,50.3,0
2026-06-10 05:56:29,469.7,21.4,50.4,0
2026-06-10 05:57:29,435.7,22.4,56.7,0
2026-06-10 05:58:29,382.5,21.2,56.1,0
2026-06-10 05:59:29,420.9,20.7,44.6,0
2026-06-10 06:00:29,383.4,20.6,44.4,0
2026-06-10 06:01:29,464.8,19.5,54.1,0
2026-06-10 06:02:29,416.0,19.9,55.4,0
2026-06-10 06:03:29,458.5,21.6,49.7,0
2026-06-10 06:04:29,435.2,20.3,52.6,0
2026-06-10 06:05:29,440.4,21.3,50.1,0
2026-06-10 06:06:29,427.3,21.9,43.1,0
2026-06-10 06:07:29,389.9,22.3,54.5,1
2026-06-10 06:08:29,468.2,21.8,44.8,0
2026-06-10 06:09:29,445.7,21.6,50.0,0
2026-06-10 06:10:29,374.5,19.7,43.8,0
2026-06-10 06:11:29,394.5,21.5,44.6,0
2026-06-10 06:12:29,430.5,21.9,42.8,0
2026-06-10 06:13:29,397.1,21.2,50.2,0
2026-06-10 06:14:29,388.4,19.8,55.7,0
2026-06-10 06:15:29,391.2,20.3,46.1,0
2026-06-10 06:16:29,455.0,20.5,43.8,0
2026-06-10 06:17:29,432.1,20.4,49.5,0
2026-06-10 06:18:29,406.7,21.0,55.0,0
2026-06-10 06:19:29,467.5,19.7,46.9,0
2026-06-10 06:20:29,444.4,22.5,50.0,0
2026-06-10 06:21:29,388.7,21.3,46.4,1
2026-06-10 06:22:29,445.5,22.2,42.6,0
2026-06-10 06:23:29,382.8,20.4,56.9,0
2026-06-10 06:24:29,401.4,22.2,49.8,0
2026-06-10 06:25:29,1720.4,21.5,45.1,1
2026-06-10 06:26:29,443.8,20.4,47.5,0
2026-06-10 06:27:29,418.1,19.8,43.3,0
2026-06-10 06:28:29,386.8,21.5,50.1,0
2026-06-10 06:29:29,430.7,20.9,50.2,0
2026-06-10 06:30:29,402.6,20.4,44.2,0
2026-06-10 06:31:29,403.0,21.2,49.9,0
2026-06-10 06:32:29,430.0,20.2,44.8,0
2026-06-10 06:33:29,435.5,20.3,49.9,0
2026-06-10 06:34:29,469.2,20.9,46.4,0
2026-06-10 06:35:29,454.3,20.8,43.0,0
2026-06-10 06:36:29,386.9,22.1,56.9,0
2026-06-10 06:37:29,442.9,20.2,55.8,0
2026-06-10 06:38:29,465.6,20.7,50.1,0
2026-06-10 06:39:29,375.2,22.2,43.1,1
2026-06-10 06:40:29,403.6,20.1,47.4,0
2026-06-10 06:41:29,441.0,20.4,50.8,0
2026-06-10 06:42:29,435.9,21.6,55.3,0
2026-06-10 06:43:29,375.7,20.0,45.5,0
2026-06-10 06:44:29,371.7,20.7,42.7,0
2026-06-10 06:45:29,455.9,20.1,53.4,0
2026-06-10 06:46:29,452.0,22.3,45.5,0
2026-06-10 06:47:29,467.9,22.0,51.5,0
2026-06-10 06:48:29,398.5,20.2,46.8,0
2026-06-10 06:49:29,453.8,21.9,43.1,0
2026-06-10 06:50:29,403.8,21.0,52.1,0
2026-06-10 06:51:29,414.5,20.8,54.9,0
2026-06-10 06:52:29,395.3,19.7,55.0,0
2026-06-10 06:53:29,423.6,20.1,56.2,0
2026-06-10 06:54:29,375.2,22.0,47.3,0
2026-06-10 06:55:29,371.7,21.4,47.4,0
2026-06-10 06:56:29,457.0,21.3,54.9,0
2026-06-10 06:57:29,409.6,20.9,53.2,0
2026-06-10 06:58:29,376.9,22.0,54.7,0
2026-06-10 06:59:29,384.4,19.7,48.6,0
2026-06-10 07:00:29,390.5,20.9,50.3,1
2026-06-10 07:01:29,411.6,21.7,49.9,0
2026-06-10 07:02:29,403.4,22.5,53.0,0
2026-06-10 07:03:29,388.0,21.7,42.0,0
2026-06-10 07:04:29,404.9,21.3,57.0,0
2026-06-10 07:05:29,387.2,20.3,46.8,0
2026-06-10 07:06:29,438.1,20.4,49.6,0
2026-06-10 07:07:29,391.4,21.9,47.2,0
2026-06-10 07:08:29,422.9,20.0,44.4,0
2026-06-10 07:09:29,387.5,20.3,49.3,0
2026-06-10 07:10:29,405.1,20.2,43.7,0
2026-06-10 07:11:29,440.2,19.6,51.9,0
2026-06-10 07:12:29,1672.1,20.9,50.7,1
2026-06-10 07:13:29,469.7,20.2,48.5,0
2026-06-10 07:14:29,372.7,21.6,54.8,0
2026-06-10 07:15:29,390.2,19.8,55.9,1
2026-06-10 07:16:29,378.5,22.0,46.7,0
2026-06-10 07:17:29,446.5,21.6,42.2,0
2026-06-10 07:18:29,385.0,19.6,44.2,0
2026-06-10 07:19:29,412.7,20.3,51.0,0
2026-06-10 07:20:29,377.7,21.4,49.8,0
2026-06-10 07:21:29,449.2,21.2,51.5,0
2026-06-10 07:22:29,376.5,21.0,53.7,0
2026-06-10 07:23:29,374.8,19.8,52.9,0
2026-06-10 07:24:29,435.4,21.7,45.1,0
2026-06-10 07:25:29,439.2,21.9,56.4,0
2026-06-10 07:26:29,438.8,21.2,55.2,0
2026-06-10 07:27:29,397.0,20.8,55.6,0
2026-06-10 07:28:29,370.1,20.8,44.9,0
2026-06-10 07:29:29,407.6,20.2,53.8,0
2026-06-10 07:30:29,380.8,22.4,55.8,0
2026-06-10 07:31:29,441.1,20.3,43.6,0
2026-06-10 07:32:29,412.5,21.0,49.7,0
2026-06-10 07:33:29,416.6,19.6,48.5,0
2026-06-10 07:34:29,463.0,22.3,51.8,0
2026-06-10 07:35:29,386.9,21.0,49.9,0
2026-06-10 07:36:29,398.5,20.3,47.8,0
2026-06-10 07:37:29,460.0,22.3,52.8,0
2026-06-10 07:38:29,407.4,20.8,50.8,0
2026-06-10 07:39:29,406.3,22.0,49.7,0
2026-06-10 07:40:29,387.5,22.4,42.7,0
2026-06-10 07:41:29,452.2,22.0,44.3,1
2026-06-10 07:42:29,380.4,22.1,51.0,0
2026-06-10 07:43:29,407.2,20.3,48.5,0
2026-06-10 07:44:29,373.9,22.4,55.6,0
2026-06-10 07:45:29,416.1,20.4,55.9,0
2026-06-10 07:46:29,381.8,19.8,48.1,0
2026-06-10 07:47:29,448.4,21.8,56.0,0
2026-06-10 07:48:29,413.3,21.3,49.7,0
2026-06-10 07:49:29,450.8,20.4,42.7,0
2026-06-10 07:50:29,416.4,20.4,50.5,0
2026-06-10 07:51:29,443.6,20.8,51.7,0
2026-06-10 07:52:29,421.9,22.3,52.3,0
2026-06-10 07:53:29,398.2,19.8,48.8,0
2026-06-10 07:54:29,458.2,21.9,51.0,0
2026-06-10 07:55:29,460.6,19.7,53.6,0
2026-06-10 07:56:29,434.5,21.0,55.9,0
2026-06-10 07:57:29,409.2,22.5,55.6,0
2026-06-10 07:58:29,400.0,22.5,44.0,0
2026-06-10 07:59:29,394.8,21.2,51.0,0
2026-06-10 08:00:29,627.4,24.9,48.7,1
2026-06-10 08:01:29,645.4,23.3,37.9,0
2026-06-10 08:02:29,660.2,22.3,44.0,1
2026-06-10 08:03:29,667.2,22.7,45.0,0
2026-06-10 08:04:29,638.4,22.2,41.1,1
2026-06-10 08:05:29,621.9,22.3,36.7,1
2026-06-10 08:06:29,683.1,22.3,48.9,0
2026-06-10 08:07:29,678.1,23.6,48.9,1
2026-06-10 08:08:29,658.3,22.3,46.2,1
2026-06-10 08:09:29,644.5,24.0,50.0,1
2026-06-10 08:10:29,687.6,22.4,48.7,1
2026-06-10 08:11:29,688.5,22.6,47.3,0
2026-06-10 08:12:29,668.8,24.4,46.9,1
2026-06-10 08:13:29,688.6,23.9,38.4,1
2026-06-10 08:14:29,658.8,23.1,36.3,1
2026-06-10 08:15:29,610.4,23.7,50.0,1
2026-06-10 08:16:29,659.8,22.5,44.9,1
2026-06-10 08:17:29,620.0,24.4,42.1,0
2026-06-10 08:18:29,677.2,24.9,37.3,1
2026-06-10 08:19:29,646.2,22.9,38.3,0
2026-06-10 08:20:29,638.0,22.8,47.2,1
2026-06-10 08:21:29,689.7,24.3,43.4,0
2026-06-10 08:22:29,605.5,22.8,38.1,1
2026-06-10 08:23:29,640.6,23.6,41.8,1
2026-06-10 08:24:29,625.1,22.6,43.2,1
2026-06-10 08:25:29,651.3,23.7,39.5,0
2026-06-10 08:26:29,648.8,23.7,38.9,1
2026-06-10 08:27:29,1723.4,23.8,42.3,1
2026-06-10 08:28:29,680.7,24.7,38.8,1
2026-06-10 08:29:29,663.8,22.3,38.1,1
2026-06-10 08:30:29,656.8,22.6,48.8,1
2026-06-10 08:31:29,667.1,22.9,42.4,1
2026-06-10 08:32:29,658.8,22.9,36.8,0
2026-06-10 08:33:29,606.4,24.3,49.0,1
2026-06-10 08:34:29,654.1,25.0,49.4,1
2026-06-10 08:35:29,650.5,22.6,44.1,0
2026-06-10 08:36:29,623.3,22.6,39.7,1
2026-06-10 08:37:29,647.6,24.5,46.5,0
2026-06-10 08:38:29,656.7,22.7,43.9,1
2026-06-10 08:39:29,670.2,22.5,41.2,0
2026-06-10 08:40:29,683.0,22.1,49.3,1
2026-06-10 08:41:29,620.4,22.2,42.3,1
2026-06-10 08:42:29,684.1,24.1,36.2,1
2026-06-10 08:43:29,685.4,22.5,47.5,1
2026-06-10 08:44:29,1552.5,22.7,44.6,1
2026-06-10 08:45:29,679.6,23.1,44.8,1
2026-06-10 08:46:29,600.7,23.8,41.1,0
2026-06-10 08:47:29,608.6,22.3,36.2,1
2026-06-10 08:48:29,653.3,24.8,38.2,0
2026-06-10 08:49:29,661.2,22.8,38.1,0
2026-06-10 08:50:29,673.5,22.6,49.7,1
2026-06-10 08:51:29,627.3,23.4,44.3,1
2026-06-10 08:52:29,608.9,24.0,43.9,1
2026-06-10 08:53:29,648.2,24.6,42.5,1
2026-06-10 08:54:29,644.4,24.8,45.5,0
2026-06-10 08:55:29,692.8,24.9,43.2,1
2026-06-10 08:56:29,689.6,24.5,38.4,1
2026-06-10 08:57:29,629.4,23.5,47.6,1
2026-06-10 08:58:29,611.8,24.1,46.9,1
2026-06-10 08:59:29,627.1,24.6,38.2,0
2026-06-10 09:00:29,686.0,23.5,41.2,0
2026-06-10 09:01:29,679.2,24.7,35.5,1
2026-06-10 09:02:29,601.2,23.7,36.8,0
2026-06-10 09:03:29,670.1,23.2,37.5,1
2026-06-10 09:04:29,601.1,24.8,39.6,0
2026-06-10 09:05:29,696.6,23.6,44.0,0
2026-06-10 09:06:29,676.6,23.0,47.3,0
2026-06-10 09:07:29,657.1,23.1,39.8,0
2026-06-10 09:08:29,632.1,23.5,37.3,1
2026-06-10 09:09:29,658.6,22.9,44.8,0
2026-06-10 09:10:29,664.9,23.9,43.0,1
2026-06-10 09:11:29,622.5,24.2,48.6,0
2026-06-10 09:12:29,687.9,23.7,47.6,1
2026-06-10 09:13:29,681.8,24.2,36.6,1
2026-06-10 09:14:29,689.7,23.3,49.0,1
2026-06-10 09:15:29,644.3,24.1,42.3,0
2026-06-10 09:16:29,678.1,22.3,47.5,1
2026-06-10 09:17:29,614.8,23.9,46.4,1
2026-06-10 09:18:29,655.8,23.3,35.3,0
2026-06-10 09:19:29,653.0,24.1,42.7,0
2026-06-10 09:20:29,637.0,23.4,48.8,1
2026-06-10 09:21:29,647.3,23.5,36.5,1
2026-06-10 09:22:29,662.0,23.2,40.1,1
2026-06-10 09:23:29,655.6,23.3,47.2,1
2026-06-10 09:24:29,605.2,23.5,38.0,1
2026-06-10 09:25:29,668.8,23.7,48.1,1
2026-06-10 09:26:29,682.9,23.8,40.9,0
2026-06-10 09:27:29,636.0,22.1,49.4,0
2026-06-10 09:28:29,636.9,24.9,42.9,1
2026-06-10 09:29:29,687.1,22.1,43.9,0
2026-06-10 09:30:29,609.1,23.0,40.8,0
2026-06-10 09:31:29,672.7,22.6,40.6,0
2026-06-10 09:32:29,639.2,24.7,38.2,1
2026-06-10 09:33:29,630.2,24.1,38.8,1
2026-06-10 09:34:29,664.8,23.9,49.9,1
2026-06-10 09:35:29,626.2,24.2,39.4,1
2026-06-10 09:36:29,620.0,24.9,37.3,0
2026-06-10 09:37:29,663.1,24.2,36.2,0
2026-06-10 09:38:29,640.4,24.8,36.2,1
2026-06-10 09:39:29,696.1,22.6,47.0,1
2026-06-10 09:40:29,668.3,22.5,37.3,0
2026-06-10 09:41:29,695.2,24.0,46.1,1
2026-06-10 09:42:29,661.6,24.1,47.2,1
2026-06-10 09:43:29,630.1,22.0,47.5,0
2026-06-10 09:44:29,640.1,24.3,38.5,1
2026-06-10 09:45:29,686.5,23.8,49.2,1
2026-06-10 09:46:29,646.5,24.5,41.2,1
2026-06-10 09:47:29,637.4,24.3,47.6,1
2026-06-10 09:48:29,622.7,24.5,36.0,1
2026-06-10 09:49:29,646.5,22.3,43.0,1
2026-06-10 09:50:29,693.5,24.1,43.6,1
2026-06-10 09:51:29,654.5,22.4,39.8,1
